"id_parcela","Dia","Año","Mes","ciclo_Cuajado","ciclo_Envero","Ciclo_Meseta","Temperatura","Lluvia","pH","Poda","Plaga","GradoBrix","ConteoRacimos","PesoRacimos","Rendimiento","Calidad","vino_Merlot","vino_Cabernet"
1,15,2020,1,1,0,0,13.3,38,6.85,1,0,15.3,96,1.73,198.91,98.1,1,0
1,15,2020,1,0,1,0,15.8,31,6.91,1,0,19.8,97,1.39,158.46,95.8,1,0
1,15,2020,1,0,0,1,19.3,43,6.77,1,0,22.4,104,1.53,195.84,97.6,1,0
1,15,2020,2,1,0,0,20.1,33,6.95,1,0,15.3,105,1.49,181.93,94.8,1,0
1,15,2020,2,0,1,0,21.2,41,6.66,1,0,19.5,102,1.66,196.45,97.9,1,0
1,15,2020,2,0,0,1,21.2,47,6.88,0,0,24.1,100,1.69,189.29,92.8,1,0
1,15,2020,3,1,0,0,23.5,40,6.91,1,0,15.2,114,1.73,238.18,97.1,1,0
1,15,2020,3,0,1,0,20.2,29,6.96,1,0,20.8,115,1.34,176.28,99.4,1,0
1,15,2020,3,0,0,1,23.1,33,6.78,1,0,25.4,112,1.93,241.96,90.4,1,0
1,15,2020,4,1,0,0,30.4,37,6.74,1,0,17.1,103,1.81,227.51,94.8,1,0
1,15,2020,4,0,1,0,23,40,6.87,1,0,20.4,92,1.83,202.22,90.8,1,0
1,15,2020,4,0,0,1,24.1,31,6.73,1,0,23.6,106,1.36,162.46,94.3,1,0
1,15,2020,5,1,0,0,25.2,31,6.74,1,0,14.5,89,1.79,182.9,89.5,1,0
1,15,2020,5,0,1,0,22.8,27,6.83,0,0,20.6,111,1.71,218.67,91.1,1,0
1,15,2020,5,0,0,1,25.4,48,7,1,0,23.7,92,1.77,194.73,90.9,1,0
1,15,2020,6,1,0,0,21,38,6.83,0,0,13.4,104,1.27,147.76,90.6,1,0
1,15,2020,6,0,1,0,19.7,34,6.81,1,0,20.6,93,1.9,219.18,95.8,1,0
1,15,2020,6,0,0,1,18.1,38,6.79,1,0,23.8,105,1.49,193.28,89.8,1,0
1,15,2020,7,1,0,0,18.6,34,6.65,1,0,15.5,93,1.58,173.88,94.6,1,0
1,15,2020,7,0,1,0,17.4,25,6.94,1,0,19.6,96,1.96,231.91,89.9,1,0
1,15,2020,7,0,0,1,16.6,23,6.8,1,0,21.7,110,1.51,189.45,95.1,1,0
1,15,2020,8,1,0,0,11.6,30,6.9,1,0,15.4,108,1.85,245.5,90.9,1,0
1,15,2020,8,0,1,0,13.5,32,6.92,1,0,20.5,100,1.62,192.94,88.5,1,0
