"id_parcela","Dia","Año","Mes","ciclo_Cuajado","ciclo_Envero","Ciclo_Meseta","Temperatura","Lluvia","pH","Poda","Plaga","GradoBrix","ConteoRacimos","PesoRacimos","Rendimiento","Calidad","vino_Merlot","vino_Cabernet"
1,15,2020,1,1,0,0,16.2,58,6.23,1,0,15.7,107,1.16,114.67,71.3,1,0
1,15,2020,1,0,1,0,18,53,6.84,1,0,17.4,120,1.69,173.88,84.3,1,0
1,15,2020,1,0,0,1,13.9,44,6.41,1,0,21.9,113,1.5,150.27,86.8,1,0
1,15,2020,2,1,0,0,17.1,58,6.47,1,0,13.9,111,1.54,177.57,91.3,1,0
1,15,2020,2,0,1,0,18.9,47,6.2,1,0,16.7,124,1.95,215.01,89.6,1,0
1,15,2020,2,0,0,1,20.5,43,6.48,1,0,23.7,114,1.67,170.22,98.1,1,0
1,15,2020,3,1,0,0,20.2,54,6.7,1,0,13.5,94,2.27,187.2,74.3,1,0
1,15,2020,3,0,1,0,24.6,53,6.55,0,1,17.8,100,1.35,124.11,77.2,1,0
1,15,2020,3,0,0,1,21.4,57,6.36,1,0,21.2,94,1.51,136.61,80.7,1,0
1,15,2020,4,1,0,0,26.4,48,6.49,0,0,14.3,103,1.73,168.16,91.2,1,0
1,15,2020,4,0,1,0,25,45,6.68,0,0,19.5,100,1.36,125.34,98.9,1,0
1,15,2020,4,0,0,1,25.3,58,6.28,1,0,21.2,85,1.55,144.44,97.6,1,0
1,15,2020,5,1,0,0,26.8,53,6.43,1,1,14.3,103,1.52,142.36,95,1,0
1,15,2020,5,0,1,0,24.7,52,6.53,1,1,19.8,95,1.78,170.68,93.6,1,0
1,15,2020,5,0,0,1,22.5,57,6.77,1,0,21.6,81,2.05,144.73,74.9,1,0
1,15,2020,6,1,0,0,21.8,46,6.66,1,0,12.4,87,1.27,103.79,73,1,0
1,15,2020,6,0,1,0,21.5,53,6.13,0,0,18.8,105,1.45,150.08,84.8,1,0
1,15,2020,6,0,0,1,19.6,36,6.63,0,0,21.5,107,1.2,110.48,80.2,1,0
1,15,2020,7,1,0,0,16.4,51,6.39,1,0,16,90,1.57,135.8,99.5,1,0
1,15,2020,7,0,1,0,13.3,39,6.33,1,0,17.5,91,2.17,189.37,93.5,1,0
1,15,2020,7,0,0,1,10.2,46,6.52,1,1,22.8,97,1.86,173.53,93.1,1,0
1,15,2020,8,1,0,0,12.8,43,6.73,0,0,13.3,89,2.55,202.24,97.2,1,0
1,15,2020,8,0,1,0,9.6,50,6.45,0,0,18,93,1.69,134.91,86.4,1,0
1,15,2020,8,0,0,1,10.8,55,6.35,0,1,22.2,129,1.92,246.72,73,1,0
1,15,2020,9,1,0,0,4.5,54,6.77,1,0,14.4,98,1.4,153.26,94.4,1,0
1,15,2020,9,0,1,0,4.8,63,6.38,1,0,18.5,111,2.15,256.97,89.9,1,0
1,15,2020,9,0,0,1,6.9,44,6.64,0,0,20.9,100,2.45,242.04,91,1,0
1,15,2020,10,1,0,0,9.1,38,6.38,1,0,13.1,102,1.79,159.71,95.8,1,0
1,15,2020,10,0,1,0,6.1,49,6.33,1,0,16.2,107,1.33,133.89,98.2,1,0
1,15,2020,10,0,0,1,5.1,37,6.71,0,0,23,109,1.5,178.32,81.6,1,0
1,15,2020,11,1,0,0,4.3,58,6.59,1,0,12.3,109,2.07,218.54,94.4,1,0
1,15,2020,11,0,1,0,8.8,59,6.62,1,0,18.2,114,2.27,287.81,74.5,1,0
1,15,2020,11,0,0,1,6.8,51,6.42,1,0,22,114,1.74,182.04,79.6,1,0
1,15,2020,12,1,0,0,11,56,6.46,1,1,14.2,114,2.61,333.55,96,1,0
1,15,2020,12,0,1,0,9.9,47,6.37,0,0,18.6,94,2.2,201.7,87.8,1,0
1,15,2020,12,0,0,1,13,40,6.2,0,1,21.9,108,2.4,259.43,80.5,1,0
1,15,2021,1,1,0,0,17.4,53,6.4,1,0,11.9,88,1.48,142.22,76.1,1,0
1,15,2021,1,0,1,0,14.7,54,6.9,1,0,17.9,84,1.57,123.32,87.5,1,0
1,15,2021,1,0,0,1,11.7,47,6.32,1,0,21.7,100,1.56,166.73,84.6,1,0
1,15,2021,2,1,0,0,14.8,68,6.51,0,0,14.7,105,0.98,114.47,89.4,1,0
1,15,2021,2,0,1,0,19,56,6.09,1,0,18.2,103,1.14,133.22,78.3,1,0
1,15,2021,2,0,0,1,17.5,51,6.62,1,0,21.3,102,1.26,125.14,90.5,1,0
1,15,2021,3,1,0,0,26.7,53,6.21,1,0,14.9,111,1.74,190.9,76.1,1,0
1,15,2021,3,0,1,0,21.6,60,6.33,1,0,17.4,96,1.52,126.09,77.9,1,0
1,15,2021,3,0,0,1,24.5,54,6.28,0,0,20.9,91,1.67,143.37,88.2,1,0
1,15,2021,4,1,0,0,27.3,49,6.47,0,0,14.6,104,1.79,163.67,98.9,1,0
1,15,2021,4,0,1,0,26,50,6.5,1,0,18.6,108,1.62,155.02,72.3,1,0
1,15,2021,4,0,0,1,25.4,52,6.51,1,0,22.1,92,1.69,163.58,70.4,1,0
1,15,2021,5,1,0,0,26.5,41,6.36,1,0,13.4,104,1.84,209.24,92.8,1,0
1,15,2021,5,0,1,0,22.1,55,6.63,1,0,18.7,111,0.91,112.12,87.3,1,0
1,15,2021,5,0,0,1,26.8,50,6.48,1,0,22.5,98,1.38,150.94,76.1,1,0
1,15,2021,6,1,0,0,21,40,6.52,1,0,13.8,92,1.63,141.14,86.8,1,0
1,15,2021,6,0,1,0,22.7,44,6.21,1,0,18.3,115,1.79,222.03,84.4,1,0
1,15,2021,6,0,0,1,17.2,42,6.52,1,0,22.6,105,1.96,184.39,75.7,1,0
1,15,2021,7,1,0,0,12.2,48,6.63,1,0,12.8,104,2.11,217.98,93.2,1,0
1,15,2021,7,0,1,0,11.6,46,6.31,0,0,18.4,96,2.04,189.66,94.3,1,0
1,15,2021,7,0,0,1,15,42,6.51,1,0,21,100,2.08,205.31,85.6,1,0
1,15,2021,8,1,0,0,6.6,31,6.72,1,0,13.4,95,2,171.36,79.2,1,0
1,15,2021,8,0,1,0,6.9,47,6.8,0,0,18.8,105,1.27,127.57,81.8,1,0
1,15,2021,8,0,0,1,8.4,51,6.08,1,0,20.6,91,2.04,192.58,78.7,1,0
1,15,2021,9,1,0,0,7.4,44,6.54,0,0,12.5,101,1.72,169.65,98.1,1,0
1,15,2021,9,0,1,0,6.2,43,6.13,1,0,18.2,111,1.93,230.45,81.4,1,0
1,15,2021,9,0,0,1,6.1,56,6.41,1,0,22.3,91,1.95,199.75,85.9,1,0
1,15,2021,10,1,0,0,1.7,50,6.34,1,0,12.5,96,2.49,232,89.5,1,0
1,15,2021,10,0,1,0,4.3,54,6.29,1,0,19.1,91,2.16,202.12,73.7,1,0
1,15,2021,10,0,0,1,4.9,36,6.45,0,0,22,102,1.46,161.67,86.3,1,0
1,15,2021,11,1,0,0,12.3,50,6.66,1,1,13.6,90,2.46,220.98,76.8,1,0
1,15,2021,11,0,1,0,7.2,45,6.18,0,1,17.5,97,1.91,173,87.1,1,0
1,15,2021,11,0,0,1,3.7,56,6.24,0,0,21.3,104,2.05,190.59,91.1,1,0
1,15,2021,12,1,0,0,9.8,59,6.65,0,0,13.5,94,2.08,199.19,78.3,1,0
1,15,2021,12,0,1,0,10.7,50,6.43,1,0,18.7,112,1.42,161.08,95.1,1,0
1,15,2021,12,0,0,1,10.7,42,6.29,1,0,20.8,95,1.45,131.05,97.5,1,0
1,15,2022,1,1,0,0,18.6,49,6.24,1,0,14.3,92,1.74,161.75,79.1,1,0
1,15,2022,1,0,1,0,14.3,52,6.41,1,0,15.4,82,1.52,136.41,77.3,1,0
1,15,2022,1,0,0,1,15.7,56,6.29,1,0,21.1,93,1.63,166.3,81.2,1,0
1,15,2022,2,1,0,0,16.7,49,6.59,1,0,15.1,95,1.72,157.39,83.8,1,0
1,15,2022,2,0,1,0,21.4,38,6.18,1,0,18.1,88,1.76,160.17,74.8,1,0
1,15,2022,2,0,0,1,20.6,46,6.73,0,0,20.7,123,1.53,176.92,93.9,1,0
1,15,2022,3,1,0,0,23.7,52,6.6,1,0,14,109,1.58,160.35,88,1,0
1,15,2022,3,0,1,0,25.3,51,6.4,1,1,18.7,93,1.95,161.64,84.3,1,0
1,15,2022,3,0,0,1,24.6,54,6.54,0,0,22.9,90,1.89,147.05,92.4,1,0
1,15,2022,4,1,0,0,25.3,34,6.61,0,0,14.4,117,1.63,201.89,86.7,1,0
1,15,2022,4,0,1,0,24.8,51,6.88,1,0,16,100,1.83,195.69,83,1,0
1,15,2022,4,0,0,1,21.1,48,6.43,0,0,21.8,99,2.11,180.54,93.2,1,0
1,15,2022,5,1,0,0,23.6,45,6.76,1,0,13.7,97,1.54,171.35,93.8,1,0
1,15,2022,5,0,1,0,25.1,50,6.4,0,0,16.1,98,1.91,183.47,77.7,1,0
1,15,2022,5,0,0,1,24.4,43,6.61,1,0,22.8,106,1.57,170.98,75.4,1,0
1,15,2022,6,1,0,0,19.4,39,6.51,1,0,13.9,108,2.43,254.04,88.3,1,0
1,15,2022,6,0,1,0,19.4,55,6.73,1,0,18.8,100,2.11,190.64,77.7,1,0
1,15,2022,6,0,0,1,20.9,53,6.76,0,0,21.7,96,1.64,135.33,85.6,1,0
1,15,2022,7,1,0,0,16.6,52,6.16,0,0,15.5,100,1.88,162.05,92.4,1,0
1,15,2022,7,0,1,0,15.2,49,6.29,0,0,17.5,103,1.99,204.33,72.5,1,0
1,15,2022,7,0,0,1,16.8,53,6.59,0,0,21.9,112,1.44,184.98,88.5,1,0
1,15,2022,8,1,0,0,6.5,54,6.78,0,0,14.9,103,1.42,132.8,89.7,1,0
1,15,2022,8,0,1,0,8.2,46,6.88,1,0,19.7,91,1.88,152.39,70.2,1,0
1,15,2022,8,0,0,1,12.2,44,6.7,1,0,21.7,117,1.21,141.39,82.8,1,0
1,15,2022,9,1,0,0,9.8,53,6.64,1,0,13.9,95,1.85,163.73,91.4,1,0
1,15,2022,9,0,1,0,4.3,62,6.71,1,0,19,98,2.4,235.93,74.7,1,0
1,15,2022,9,0,0,1,5.4,52,6.79,1,0,22.2,107,1.85,194.94,88.1,1,0
1,15,2022,10,1,0,0,9.2,41,6.55,0,0,15.1,116,1.34,162.91,79.4,1,0
1,15,2022,10,0,1,0,7.4,49,6.66,1,0,18.7,115,1.89,222.42,87.4,1,0
1,15,2022,10,0,0,1,5.1,60,6.48,1,0,21.8,102,1.74,163.96,81.1,1,0
1,15,2022,11,1,0,0,8.9,42,6.6,1,0,14.8,99,2.04,231.7,77.6,1,0
1,15,2022,11,0,1,0,10.8,48,6.28,1,0,19.1,103,2.14,227.99,71.6,1,0
1,15,2022,11,0,0,1,6.9,52,6.3,1,0,22,102,1.87,166.38,86.2,1,0
1,15,2022,12,1,0,0,11.1,50,6.63,1,0,11.9,87,1.67,160.02,77.7,1,0
1,15,2022,12,0,1,0,10.7,45,6.5,1,1,17.3,94,1.89,153.38,98,1,0
1,15,2022,12,0,0,1,8.6,49,6.71,1,1,21.1,101,1.75,157.56,82.5,1,0
1,15,2023,1,1,0,0,15.5,49,6.61,0,0,14.7,101,1.22,123.75,84.8,1,0
1,15,2023,1,0,1,0,15,31,6.39,0,0,18.7,98,2.38,268.06,75.9,1,0
1,15,2023,1,0,0,1,12.9,51,6.66,1,0,20.7,105,2.07,213.1,75.2,1,0
1,15,2023,2,1,0,0,21.3,59,6.16,1,0,15.7,116,1.71,214.11,90.2,1,0
1,15,2023,2,0,1,0,21.3,56,6.16,0,1,16.9,105,1.71,180.73,81.8,1,0
1,15,2023,2,0,0,1,17.6,53,6.26,1,1,22.5,92,1.19,103.26,92.3,1,0
1,15,2023,3,1,0,0,24.2,39,6.63,0,0,13.2,112,1.45,162.12,85.7,1,0
1,15,2023,3,0,1,0,24.5,53,6.8,1,0,16,103,2.07,205.46,74.1,1,0
1,15,2023,3,0,0,1,23.9,49,6.78,1,0,20.4,89,1.54,145.57,79.8,1,0
1,15,2023,4,1,0,0,27,47,6.62,0,0,14.3,104,1.16,129.52,83.1,1,0
1,15,2023,4,0,1,0,24,48,6.18,1,0,19.8,78,1.84,158.4,92.4,1,0
1,15,2023,4,0,0,1,25.9,43,6.79,1,0,20.9,108,1.04,115.64,72.4,1,0
1,15,2023,5,1,0,0,24.4,48,6.17,1,0,14.4,97,1.81,151.94,99.8,1,0
1,15,2023,5,0,1,0,20.9,57,6.78,1,0,17.9,95,2.26,224.63,72.3,1,0
1,15,2023,5,0,0,1,27.4,48,6.32,0,0,22.7,95,1.58,171.8,90.6,1,0
1,15,2023,6,1,0,0,20.5,50,6.42,1,0,13.5,83,2.27,185.77,83.1,1,0
1,15,2023,6,0,1,0,18.4,44,6.31,1,0,17.3,94,2.11,185.94,96.3,1,0
1,15,2023,6,0,0,1,22.4,55,6.63,1,0,23.4,103,1.65,175.54,94.5,1,0
1,15,2023,7,1,0,0,15.1,48,6.48,1,0,13.9,95,1.19,117.68,91.5,1,0
1,15,2023,7,0,1,0,12.6,58,6.79,0,1,17,104,1.76,198.36,94.7,1,0
1,15,2023,7,0,0,1,15.8,36,6.31,0,0,23.3,96,1.92,188.27,96.4,1,0
1,15,2023,8,1,0,0,8.2,44,6.26,1,0,16.1,124,1.88,211.71,91.3,1,0
1,15,2023,8,0,1,0,5.5,46,6.72,1,1,18.6,94,2.09,180.38,89.7,1,0
1,15,2023,8,0,0,1,10.3,50,6.32,1,0,22.3,104,1.71,183.48,84.9,1,0
1,15,2023,9,1,0,0,7.6,54,6.22,1,0,12.8,86,2,154.48,71.7,1,0
1,15,2023,9,0,1,0,7.3,38,6.64,0,0,20.3,95,1.84,180.37,99.2,1,0
1,15,2023,9,0,0,1,5.4,37,6.03,1,0,21.6,109,2.18,218.65,79.3,1,0
1,15,2023,10,1,0,0,4.3,42,6.41,1,0,15.4,112,1.75,174.94,95.6,1,0
1,15,2023,10,0,1,0,6.6,53,6.67,1,0,17.4,95,2.01,198.64,85.9,1,0
1,15,2023,10,0,0,1,6.1,55,6.62,1,0,23.6,103,1.92,173.55,84.9,1,0
1,15,2023,11,1,0,0,9.2,56,6.71,0,0,15.7,93,1.65,149.44,94.8,1,0
1,15,2023,11,0,1,0,6.2,49,6.5,1,0,19,97,2.24,219.39,81.9,1,0
1,15,2023,11,0,0,1,3.8,35,6.72,0,0,22,117,1.98,234.86,93.9,1,0
1,15,2023,12,1,0,0,7.7,57,6.76,1,0,13.7,91,2.11,201.49,85.4,1,0
1,15,2023,12,0,1,0,9.6,48,6.55,1,1,19.3,97,2.22,197.69,75,1,0
1,15,2023,12,0,0,1,6.2,54,6.31,0,0,22.4,96,1.4,153.41,94,1,0
1,15,2024,1,1,0,0,14.7,39,6.51,1,0,14.6,106,1.36,130.25,81.6,1,0
1,15,2024,1,0,1,0,14.9,49,6.12,1,0,16.1,113,1.5,161.96,97.8,1,0
1,15,2024,1,0,0,1,14.7,44,6.71,1,0,22.4,93,1.63,148.94,91.7,1,0
